id,bs_year,bs_month,month_name,ad_start_date,days,created_at,updated_at
59,2004,11,Falgun,1948-02-13,29,2026-08-22 00:00:00,2026-08-22 00:00:00
60,2004,12,Chaitra,1948-03-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
61,2005,1,Baishak,1948-04-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
62,2005,2,Jestha,1948-05-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
63,2005,3,Ashad,1948-06-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
64,2005,4,Shrawan,1948-07-16,31,2026-08-22 00:00:00,2026-08-22 00:00:00
65,2005,5,Bhadra,1948-08-16,31,2026-08-22 00:00:00,2026-08-22 00:00:00
66,2005,6,Asoj,1948-09-16,31,2026-08-22 00:00:00,2026-08-22 00:00:00
67,2005,7,Kartik,1948-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
68,2005,8,Mangsir,1948-11-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
69,2005,9,Poush,1948-12-15,30,2026-08-22 00:00:00,2026-08-22 00:00:00
70,2005,10,Magh,1949-01-14,29,2026-08-22 00:00:00,2026-08-22 00:00:00
71,2005,11,Falgun,1949-02-12,30,2026-08-22 00:00:00,2026-08-22 00:00:00
72,2005,12,Chaitra,1949-03-14,30,2026-08-22 00:00:00,2026-08-22 00:00:00
73,2006,1,Baishak,1949-04-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
74,2006,2,Jestha,1949-05-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
75,2006,3,Ashad,1949-06-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
76,2006,4,Shrawan,1949-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
77,2006,5,Bhadra,1949-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
78,2006,6,Asoj,1949-09-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
79,2006,7,Kartik,1949-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
80,2006,8,Mangsir,1949-11-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
81,2006,9,Poush,1949-12-15,30,2026-08-22 00:00:00,2026-08-22 00:00:00
82,2006,10,Magh,1950-01-14,29,2026-08-22 00:00:00,2026-08-22 00:00:00
83,2006,11,Falgun,1950-02-12,30,2026-08-22 00:00:00,2026-08-22 00:00:00
84,2006,12,Chaitra,1950-03-14,30,2026-08-22 00:00:00,2026-08-22 00:00:00
85,2007,1,Baishak,1950-04-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
86,2007,2,Jestha,1950-05-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
87,2007,3,Ashad,1950-06-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
88,2007,4,Shrawan,1950-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
89,2007,5,Bhadra,1950-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
90,2007,6,Asoj,1950-09-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
91,2007,7,Kartik,1950-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
92,2007,8,Mangsir,1950-11-16,30,2026-08-22 00:00:00,2026-08-22 00:00:00
93,2007,9,Poush,1950-12-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
94,2007,10,Magh,1951-01-14,29,2026-08-22 00:00:00,2026-08-22 00:00:00
95,2007,11,Falgun,1951-02-12,30,2026-08-22 00:00:00,2026-08-22 00:00:00
96,2007,12,Chaitra,1951-03-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
97,2008,1,Baishak,1951-04-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
98,2008,2,Jestha,1951-05-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
99,2008,3,Ashad,1951-06-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
100,2008,4,Shrawan,1951-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
101,2008,5,Bhadra,1951-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
102,2008,6,Asoj,1951-09-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
103,2008,7,Kartik,1951-10-18,29,2026-08-22 00:00:00,2026-08-22 00:00:00
104,2008,8,Mangsir,1951-11-16,30,2026-08-22 00:00:00,2026-08-22 00:00:00
105,2008,9,Poush,1951-12-16,30,2026-08-22 00:00:00,2026-08-22 00:00:00
106,2008,10,Magh,1952-01-15,29,2026-08-22 00:00:00,2026-08-22 00:00:00
107,2008,11,Falgun,1952-02-13,29,2026-08-22 00:00:00,2026-08-22 00:00:00
108,2008,12,Chaitra,1952-03-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
109,2009,1,Baishak,1952-04-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
110,2009,2,Jestha,1952-05-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
111,2009,3,Ashad,1952-06-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
112,2009,4,Shrawan,1952-07-16,31,2026-08-22 00:00:00,2026-08-22 00:00:00
113,2009,5,Bhadra,1952-08-16,31,2026-08-22 00:00:00,2026-08-22 00:00:00
114,2009,6,Asoj,1952-09-16,31,2026-08-22 00:00:00,2026-08-22 00:00:00
115,2009,7,Kartik,1952-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
116,2009,8,Mangsir,1952-11-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
117,2009,9,Poush,1952-12-15,30,2026-08-22 00:00:00,2026-08-22 00:00:00
118,2009,10,Magh,1953-01-14,29,2026-08-22 00:00:00,2026-08-22 00:00:00
119,2009,11,Falgun,1953-02-12,30,2026-08-22 00:00:00,2026-08-22 00:00:00
120,2009,12,Chaitra,1953-03-14,30,2026-08-22 00:00:00,2026-08-22 00:00:00
121,2010,1,Baishak,1953-04-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
122,2010,2,Jestha,1953-05-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
123,2010,3,Ashad,1953-06-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
124,2010,4,Shrawan,1953-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
125,2010,5,Bhadra,1953-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
126,2010,6,Asoj,1953-09-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
127,2010,7,Kartik,1953-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
128,2010,8,Mangsir,1953-11-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
129,2010,9,Poush,1953-12-15,30,2026-08-22 00:00:00,2026-08-22 00:00:00
130,2010,10,Magh,1954-01-14,29,2026-08-22 00:00:00,2026-08-22 00:00:00
131,2010,11,Falgun,1954-02-12,30,2026-08-22 00:00:00,2026-08-22 00:00:00
132,2010,12,Chaitra,1954-03-14,30,2026-08-22 00:00:00,2026-08-22 00:00:00
133,2011,1,Baishak,1954-04-13,31,2026-08-22 00:00:00,2026-08-22 00:00:00
134,2011,2,Jestha,1954-05-14,32,2026-08-22 00:00:00,2026-08-22 00:00:00
135,2011,3,Ashad,1954-06-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
136,2011,4,Shrawan,1954-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
137,2011,5,Bhadra,1954-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
138,2011,6,Asoj,1954-09-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
139,2011,7,Kartik,1954-10-17,30,2026-08-22 00:00:00,2026-08-22 00:00:00
140,2011,8,Mangsir,1954-11-16,30,2026-08-22 00:00:00,2026-08-22 00:00:00
141,2011,9,Poush,1954-12-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
142,2011,10,Magh,1955-01-14,29,2026-08-22 00:00:00,2026-08-22 00:00:00
143,2011,11,Falgun,1955-02-12,30,2026-08-22 00:00:00,2026-08-22 00:00:00
144,2011,12,Chaitra,1955-03-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
145,2012,1,Baishak,1955-04-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
146,2012,2,Jestha,1955-05-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
147,2012,3,Ashad,1955-06-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
148,2012,4,Shrawan,1955-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
149,2012,5,Bhadra,1955-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
150,2012,6,Asoj,1955-09-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
151,2012,7,Kartik,1955-10-18,29,2026-08-22 00:00:00,2026-08-22 00:00:00
152,2012,8,Mangsir,1955-11-16,30,2026-08-22 00:00:00,2026-08-22 00:00:00
153,2012,9,Poush,1955-12-16,30,2026-08-22 00:00:00,2026-08-22 00:00:00
154,2012,10,Magh,1956-01-15,29,2026-08-22 00:00:00,2026-08-22 00:00:00
