id,name,district_id,created_at,updated_at
66,Thasang Rural Municipality,7,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
67,Kushma Municipality,8,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
68,Phalebas Municipality,8,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
69,Bihadi Rural Municipality,8,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
70,Jaljala Rural Municipality,8,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
71,Mahashila Rural Municipality,8,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
72,Modi Rural Municipality,8,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
73,Painyu Rural Municipality,8,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
74,Beni Municipality,9,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
75,Annapurna Rural Municipality,9,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
76,Dhaulagiri Rural Municipality,9,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
77,Malika Rural Municipality,9,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
78,Mangala Rural Municipality,9,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
79,Raghuganga Rural Municipality,9,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
80,Baglung Municipality,10,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
81,Dhorpatan Municipality,10,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
82,Galkot Municipality,10,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
83,Jaimini Municipality,10,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
84,Bareng Rural Municipality,10,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
85,Badigad Rural Municipality,10,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
86,Kathekhola Rural Municipality,10,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
87,Nisi Khola Rural Municipality,10,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
88,Taman Khola Rural Municipality,10,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
89,Tara Khola Rural Municipality,10,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
90,Kawasoti Municipality,11,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
91,Devchuli Municipality,11,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
92,Gaindakot Municipality,11,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
93,Madhyabindu Municipality,11,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
94,Baudikali Rural Municipality,11,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
95,Bulingtar Rural Municipality,11,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
96,Binayi Triveni Rural Municipality,11,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
97,Hupsekot Rural Municipality,11,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
98,Lalitpur Metropolitan City,13,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
99,Godawari Municipality,13,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
100,Mahalaxmi Municipality,13,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
101,Bagmati Rural Municipality,13,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
102,Konjyosom Rural Municipality,13,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
103,Mahankal Rural Municipality,13,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
104,Bhaktapur Municipality,14,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
105,Changunarayan Municipality,14,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
106,Madhyapur Thimi Municipality,14,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
107,Suryabinayak Municipality,14,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
108,Bharatpur Metropolitan City,15,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
109,Kalika Municipality,15,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
110,Khairahani Municipality,15,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
111,Madi Municipality,15,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
112,Rapti Municipality,15,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
113,Ratnanagar Municipality,15,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
114,Ichchhakamana Rural Municipality,15,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
115,Uttargaya Rural Municipality,16,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
116,Naukunda Rural Municipality,16,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
117,Parbati Kunda Rural Municipality,16,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
118,Gosaikunda Rural Municipality,16,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
119,Kalika Rural Municipality,16,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
120,Manthali Municipality,17,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
121,Ramechhap Municipality,17,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
122,Doramba Rural Municipality,17,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
123,Gokulganga Rural Municipality,17,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
124,Khandadevi Rural Municipality,17,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
125,Likhu Tamakoshi Rural Municipality,17,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
126,Sunapati Rural Municipality,17,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
127,Umakunda Rural Municipality,17,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
128,Dhulikhel Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
129,Banepa Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
130,Panauti Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
131,Panchkhal Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
132,Namobuddha Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
133,Mandan Deupur Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
134,Bethanchok Rural Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
135,Bhumlu Rural Municipality,18,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
