id,name,created_at,updated_at
1,Female,2025-07-12 13:09:58.839966,2025-07-12 13:09:58.839966
2,Male,2025-07-12 14:24:28.94903,2025-07-12 14:24:28.94903
3,Other,2025-07-12 19:20:10.164095,2025-07-12 19:20:10.164095
