id,name,created_at,updated_at
1,admin,2025-07-04 17:24:16.359023,2025-07-04 17:24:16.359023
2,property_owner,2025-07-04 17:24:16.359023,2025-07-04 17:24:16.359023
3,tenant,2025-07-04 17:24:16.359023,2025-07-04 17:24:16.359023
